CENTRAL_HISTORY_PROBE_SUMMARY={"total":136,"usable":90,"byAgency":{"meti":{"total":34,"usable":24},"jpo":{"total":24,"usable":15},"smea":{"total":18,"usable":7},"anre":{"total":60,"usable":44}}}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2018,"kind":"grant:h1","url":"https://www.meti.go.jp/information_2/downloadfiles/subs1804_1809.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs1804_1809.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2018,"kind":"grant:h2","url":"https://www.meti.go.jp/information_2/downloadfiles/subs1810_1903.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs1810_1903.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2019,"kind":"grant:h1","url":"https://www.meti.go.jp/information_2/downloadfiles/subs1904_1909.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs1904_1909.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2019,"kind":"grant:h2","url":"https://www.meti.go.jp/information_2/downloadfiles/subs1910_2003.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs1910_2003.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2020,"kind":"grant:h1","url":"https://www.meti.go.jp/information_2/downloadfiles/subs2004_2009.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs2004_2009.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2020,"kind":"grant:h2","url":"https://www.meti.go.jp/information_2/downloadfiles/subs2010_2103.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs2010_2103.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2021,"kind":"grant:h1","url":"https://www.meti.go.jp/information_2/downloadfiles/subs2104_2109.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs2104_2109.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"meti","year":2021,"kind":"grant:h2","url":"https://www.meti.go.jp/information_2/downloadfiles/subs2110_2203.xlsx","status":202,"ok":true,"bytes":2463,"xlsx":false,"html":true,"finalUrl":"https://www.meti.go.jp/information_2/downloadfiles/subs2110_2203.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"jpo","year":2017,"kind":"grant:h1","url":"https://www.jpo.go.jp/news/chotatsu/rakusatu/hojokin/document/2017/2017_04_09.xlsx","status":202,"ok":true,"bytes":2459,"xlsx":false,"html":true,"finalUrl":"https://www.jpo.go.jp/news/chotatsu/rakusatu/hojokin/document/2017/2017_04_09.xlsx","contentType":"text/html; charset=UTF-8"}
CENTRAL_HISTORY_USABLE={"agency":"jpo","year":2017,"kind":"grant:h2","url":"https://www.jpo.go.jp/news/chotatsu/rakusatu/hojokin/document/2017/2017_10_03.xlsx","status":202,"ok":true,"bytes":2459,"xlsx":false,"html":true,"finalUrl":"https://www.jpo.go.jp/news/chotatsu/rakusatu/hojokin/document/2017/2017_10_03.xlsx","contentType":"text/html; charset=UTF-8"}
